index	username	nickname	remark	review_reason
1	zhangjb415975074	斌		non_wxid_alias,no_remark,short_nickname
2	wuhao467675	AAAA淡淡的微笑		non_wxid_alias,no_remark
3	zzh573896714	ZHOU		non_wxid_alias,no_remark
4	ellenoiling2	ellen		non_wxid_alias,no_remark
5	yanji1202	yangjie		non_wxid_alias,no_remark
6	shsq1437680454	丁玉珍		non_wxid_alias,no_remark
7	xiangyang-wanghuan	乌昂胡安		non_wxid_alias,no_remark
8	xie248521	甲午芬芳		non_wxid_alias,no_remark
9	phacct_bed8b5afd207	芸朵男孩		non_wxid_alias,no_remark
10	tanrys	( ᐛ )	糸幺（唐）	non_wxid_alias
11	lxy19940923	LXYou	LXYou	non_wxid_alias
12	jiangliang3899	旻坤	旻坤-僵尸	non_wxid_alias
13	wxid_7ff3wmlazmj022	花开富贵		no_remark,duplicate_nickname_8
14	wxid_nbnlkf37xji122	花开富贵		no_remark,duplicate_nickname_8
15	wxid_x78pxgahpq2o22	花开富贵		no_remark,duplicate_nickname_8
16	wxid_9revafk1ecr822	吉祥如意		no_remark,duplicate_nickname_7
17	wxid_38quzn2magtn22	玉		no_remark,duplicate_nickname_4,short_nickname
18	wxid_u7dx0orwm42232	秀		no_remark,duplicate_nickname_3,short_nickname
19	wxid_qrevcj3u4se022	幸福		no_remark,duplicate_nickname_5
20	wxid_gl39gr7v010n22	1		no_remark,duplicate_nickname_2,short_nickname
21	wxid_141r5bqr2fk322	兰花		no_remark,duplicate_nickname_4
22	wxid_dil1z3qo4n9k22	幸福一生		no_remark,duplicate_nickname_4
23	wxid_p9rpb0hw1pp22	百合		no_remark,duplicate_nickname_4
24	wxid_skm3jsa9jx2l22	一生平安		no_remark,duplicate_nickname_3
25	wxid_un9t60i0nubs22	笑口常开		no_remark,duplicate_nickname_3
26	wxid_gxlthykj1a3122	芬芳		no_remark,duplicate_nickname_3
27	wxid_m0c01xxvcezt22	'		no_remark,short_nickname
28	wxid_p2d7bvtv7w2l12	w		no_remark,short_nickname
29	wxid_rgvuc0oz5wj022	z		no_remark,short_nickname
30	wxid_pb031cgjgorl22	倪		no_remark,short_nickname
31	wxid_mm2gli63yp1c12	勋		no_remark,short_nickname
32	wxid_snlhkj0k5ir822	卢		no_remark,short_nickname
33	wxid_hjt1av0p30ax22	卿		no_remark,short_nickname
34	wxid_p0rpfkzcjhx122	叶		no_remark,short_nickname
35	wxid_cyknefbz7eb622	吴		no_remark,short_nickname
36	wxid_xuijo0g0wzc822	唐		no_remark,short_nickname
37	wxid_oq4d9qkonokq22	好		no_remark,short_nickname
38	wxid_roeal1azdup312	娘		no_remark,short_nickname
39	wxid_r53v0usqtgdb22	孔		no_remark,short_nickname
40	wxid_xy49n3tmz8hv22	孙		no_remark,short_nickname
41	wxid_pburaynk7vso22	张		no_remark,short_nickname
42	wxid_cuyo4q8hsf3b22	慧		no_remark,short_nickname
43	wxid_uwj1qlyvzure22	文		no_remark,short_nickname
44	wxid_j128irfb9heu22	新		no_remark,short_nickname
45	wxid_u5dp8rs9npih22	春		no_remark,short_nickname
46	wxid_zxd51ofbedri22	晨		no_remark,short_nickname
47	wxid_mek8vt6hvjpq22	景		no_remark,short_nickname
48	wxid_i3qabd5rxuu922	暧		no_remark,short_nickname
49	wxid_cxs9b3gmy2pn22	曾		no_remark,short_nickname
50	wxid_cw1bdwou9qag22	梨		no_remark,short_nickname
51	wxid_lp8r27ljw5t122	歪		no_remark,short_nickname
52	wxid_d956kf9p82h522	深		no_remark,short_nickname
53	wxid_wuondw915i0021	煐		no_remark,short_nickname
54	wxid_x0809zl181x422	琴		no_remark,short_nickname
55	wxid_i4lrvtibadv622	生		no_remark,short_nickname
56	wxid_kheo064c6zlf22	石		no_remark,short_nickname
57	wxid_dew6zj0e284u22	群		no_remark,short_nickname
58	wxid_7wybzwmjafut22	艳		no_remark,short_nickname
59	wxid_l79s64yd793o12	芝		no_remark,short_nickname
60	wxid_adbhfm4axnrv12	英		no_remark,short_nickname
61	wxid_wzlbejs19h522	莉		no_remark,short_nickname
62	wxid_gc24moknndci22	萱		no_remark,short_nickname
63	wxid_u0c2y1d5t3t722	钟		no_remark,short_nickname
64	wxid_jymwud3qih7222	静		no_remark,short_nickname
65	wxid_e8j8p5r75vm822	香		no_remark,short_nickname
66	wxid_2ull8u2qewl222	马		no_remark,short_nickname
67	wxid_mxrjgtjbp9db22	魏		no_remark,short_nickname
68	wxid_puq8aop63mhf22	鱼		no_remark,short_nickname
69	wxid_0f9ypdljk2k322	努力奋斗		no_remark,duplicate_nickname_2
70	wxid_nfb8rycjhfu922	努力奋斗		no_remark,duplicate_nickname_2
71	wxid_us1etquwcbjr22	君君		no_remark,duplicate_nickname_2
72	wxid_zci4m78d2wmb22	君君		no_remark,duplicate_nickname_2
73	wxid_altzh26quh4r22	太阳		no_remark,duplicate_nickname_2
74	wxid_wewbqr3f7zta22	太阳		no_remark,duplicate_nickname_2
75	wxid_30fk1vucv0fn22	星辰		no_remark,duplicate_nickname_2
76	wxid_7crga4iz14qw22	星辰		no_remark,duplicate_nickname_2
77	wxid_0qj69v5kqgf622	星辰大海		no_remark,duplicate_nickname_2
78	wxid_bs90ozzaeigs22	森林		no_remark,duplicate_nickname_2
79	wxid_ry2r26vkjgnr22	森林		no_remark,duplicate_nickname_2
80	wxid_kl0vljvkifny22	清姐		no_remark,duplicate_nickname_2
